Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,3.998000,5.189000,3.791000,4.850000,4.850000,91917174
2012-02-01,4.886000,5.358000,4.250000,4.437000,4.437000,82451331
2012-03-01,4.497000,4.638000,4.062000,4.260000,4.260000,87034508
2012-04-01,4.286000,4.316000,3.250000,3.625000,3.625000,80843830
2012-05-01,3.625000,3.824000,3.340000,3.395000,3.395000,65902217
2012-06-01,3.410000,3.800000,3.011000,3.759000,3.759000,97895834
2012-07-01,3.758000,4.618000,3.580000,4.330000,4.330000,100826758
2012-08-01,4.330000,4.545000,3.965000,4.008000,4.008000,59473991
2012-09-01,4.012000,5.180000,3.970000,5.043000,5.043000,87941928
2012-10-01,5.075000,6.500000,5.050000,6.445000,6.445000,112593265
2012-11-01,6.432000,7.596000,6.324000,7.048000,7.048000,114904426
2012-12-01,7.018000,7.315000,6.875000,7.000000,7.000000,49457451
2013-01-01,6.999000,8.950000,6.999000,8.019000,8.019000,89988000
2013-02-01,7.991000,8.755000,7.503000,8.144000,8.144000,76615351
2013-03-01,8.137000,8.333000,7.188000,7.360000,7.360000,64945411
2013-04-01,7.360000,7.744000,6.400000,7.696000,7.696000,81658227
2013-05-01,7.696000,8.050000,7.250000,7.511000,7.511000,68363025
2013-06-01,7.485000,7.878000,6.538000,6.892000,6.892000,62163055
2013-07-01,6.913000,7.006000,5.996000,6.086000,6.086000,101039767
2013-08-01,6.168000,6.670000,5.609000,5.695000,5.695000,77591137
2013-09-01,5.800000,7.390000,5.464000,7.359000,7.359000,127988090
2013-10-01,7.353000,7.900000,7.205000,7.710000,7.710000,78734511
2013-11-01,7.631000,7.747000,7.030000,7.627000,7.627000,56748212
2013-12-01,7.617000,7.667000,7.124000,7.586000,7.586000,31540465
2014-01-01,7.586000,9.440000,7.490000,8.532000,8.532000,95565833
2014-02-01,8.508000,10.100000,8.190000,10.005000,10.005000,72669932
2014-03-01,9.805000,10.945000,9.519000,10.910000,10.910000,73733157
2014-04-01,10.950000,11.945000,10.285000,10.365000,10.365000,54212148
2014-05-01,10.365000,11.240000,9.954000,11.185000,11.185000,39272322
2014-06-01,11.255000,11.915000,9.133000,9.202000,9.202000,80623157
2014-07-01,9.220000,10.035000,8.060000,8.083000,8.083000,83847782
2014-08-01,8.050000,8.359000,6.889000,7.962000,7.962000,73653796
2014-09-01,7.972000,8.790000,7.360000,7.424000,7.424000,85098233
2014-10-01,7.354000,7.367000,5.680000,6.735000,6.735000,146591685
2014-11-01,6.760000,8.730000,6.760000,8.476000,8.476000,74489452
2014-12-01,8.540000,8.890000,7.300000,7.964000,7.964000,74377829
2015-01-01,7.964000,8.500000,7.310000,7.847000,7.847000,76386730
2015-02-01,7.754000,7.795000,6.990000,7.094000,7.094000,75189368
2015-03-01,7.103000,8.263000,6.952000,8.184000,8.184000,71449552
2015-04-01,8.142000,8.491000,7.654000,7.710000,7.710000,60148959
2015-05-01,7.710000,8.410000,7.458000,7.541000,7.541000,51608295
2015-06-01,7.610000,7.643000,6.150000,6.299000,6.299000,68319037
2015-07-01,6.351000,6.938000,5.779000,6.515000,6.515000,59089193
2015-08-01,6.510000,6.550000,5.518000,6.178000,6.178000,42293430
2015-09-01,6.094000,6.949000,5.901000,6.230000,6.230000,59346072
2015-10-01,6.248000,7.060000,5.811000,6.671000,6.671000,66915491
2015-11-01,6.650000,7.270000,6.050000,6.310000,6.310000,63893510
2015-12-01,6.396000,7.048000,6.155000,7.020000,7.020000,50005871
2016-01-01,6.994000,8.025000,6.994000,7.391000,7.391000,82611464
2016-02-01,7.422000,8.593000,6.680000,8.394000,8.394000,85931727
2016-03-01,8.419000,8.837000,7.885000,8.362000,8.362000,51198806
2016-04-01,8.284000,8.479000,7.470000,7.832000,7.832000,53292213
2016-05-01,7.887000,7.950000,7.075000,7.240000,7.240000,55252265
2016-06-01,7.270000,7.337000,5.484000,5.721000,5.721000,84186179
2016-07-01,5.760000,6.057000,5.038000,5.190000,5.190000,84261079
2016-08-01,5.247000,5.299000,4.803000,4.923000,4.923000,70440496
2016-09-01,4.939000,5.248000,4.612000,4.783000,4.783000,81242492
2016-10-01,4.791000,5.588000,4.610000,5.558000,5.558000,80049596
2016-11-01,5.579000,5.794000,5.050000,5.089000,5.089000,75904354
2016-12-01,5.120000,5.543000,4.900000,5.174000,5.174000,76861455
2017-01-01,5.124000,5.365000,4.870000,4.897000,4.897000,72976785
2017-02-01,4.903000,6.840000,4.780000,6.646000,6.646000,110651529
2017-03-01,6.667000,7.715000,6.649000,7.098000,7.098000,95751307
2017-04-01,7.137000,8.200000,6.900000,7.715000,7.715000,76977697
2017-05-01,7.715000,10.190000,7.561000,10.050000,10.050000,114867676
2017-06-01,10.050000,12.545000,10.045000,12.485000,12.485000,81464348
2017-07-01,12.560000,13.715000,11.140000,11.435000,11.435000,97234339
2017-08-01,11.425000,13.105000,11.410000,12.830000,12.830000,52805161
2017-09-01,12.960000,13.970000,12.580000,13.340000,13.340000,65266190
2017-10-01,13.300000,13.825000,12.700000,13.450000,13.450000,81102060
2017-11-01,13.480000,14.650000,10.825000,11.945000,11.945000,106664916
2017-12-01,12.100000,13.735000,11.780000,13.580000,13.580000,50038426
2018-01-01,13.580000,14.510000,11.975000,12.510000,12.510000,66962588
2018-02-01,12.610000,12.835000,9.638000,9.776000,9.776000,95522332
2018-03-01,9.746000,10.320000,8.650000,9.010000,9.010000,80770372
2018-04-01,9.010000,9.098000,7.950000,8.138000,8.138000,84705854
2018-05-01,8.138000,8.716000,6.706000,6.812000,6.812000,163040926
2018-06-01,6.940000,7.762000,6.646000,6.984000,6.984000,139864398
2018-07-01,6.900000,7.898000,6.814000,7.810000,7.810000,105610419
2018-08-01,8.100000,9.368000,8.060000,8.240000,8.240000,115889139
2018-09-01,8.250000,9.082000,8.044000,8.972000,8.972000,71827600
2018-10-01,8.806000,8.982000,7.748000,8.560000,8.560000,120996340
2018-11-01,8.608000,10.395000,8.512000,10.180000,10.180000,94778456
2018-12-01,10.315000,10.325000,8.902000,9.480000,9.480000,57848816
2019-01-01,9.480000,11.350000,8.680000,11.000000,11.000000,78588270
2019-02-01,10.985000,12.730000,9.846000,10.855000,10.855000,124416545
2019-03-01,10.995000,11.675000,9.592000,10.025000,10.025000,58688163
2019-04-01,10.040000,11.350000,9.808000,10.300000,10.300000,45355232
2019-05-01,10.300000,10.455000,7.520000,7.736000,7.736000,78417734
2019-06-01,7.708000,8.510000,7.460000,8.452000,8.452000,69992170
2019-07-01,8.500000,9.500000,8.336000,9.424000,9.424000,60492619
2019-08-01,9.520000,10.825000,9.482000,10.245000,10.245000,59541845
2019-09-01,10.240000,10.425000,8.610000,9.602000,9.602000,61362748
2019-10-01,9.780000,11.115000,9.234000,10.675000,10.675000,61439671
2019-11-01,10.680000,11.030000,9.768000,10.680000,10.680000,52866151
2019-12-01,10.650000,10.915000,9.826000,9.924000,9.924000,43742935
2020-01-01,9.924000,10.270000,8.262000,8.392000,8.392000,81420612
2020-02-01,8.400000,10.020000,6.800000,6.908000,6.908000,104269065
2020-03-01,7.038000,7.190000,3.810000,5.098000,5.098000,227843934
2020-04-01,4.994000,5.570000,4.300000,4.647000,4.647000,57014375
2020-05-01,4.647000,4.647000,3.504000,4.063000,4.063000,82619135
2020-06-01,4.259000,6.484000,3.912000,4.033000,4.033000,187372284
2020-07-01,4.040000,4.485000,3.390000,3.489000,3.489000,82158173
2020-08-01,3.524000,4.250000,3.260000,3.776000,3.776000,89496837
2020-09-01,3.820000,3.934000,2.780000,2.962000,2.962000,98084688
2020-10-01,3.000000,3.394000,2.614000,2.810000,2.810000,113020814
2020-11-01,2.755000,5.544000,2.620000,5.000000,5.000000,219324933
2020-12-01,4.990000,5.510000,4.150000,5.120000,5.120000,114902818
2021-01-01,5.120000,5.290000,4.450000,4.879000,4.879000,111397691
2021-02-01,4.853000,5.960000,4.676000,5.578000,5.578000,97162880
2021-03-01,5.680000,5.756000,4.796000,5.096000,5.096000,80002030
2021-04-01,5.120000,5.582000,4.567000,4.636000,4.636000,121078099
2021-05-01,4.681000,4.802000,4.386000,4.626000,4.626000,87423906
2021-06-01,4.651000,4.950000,3.952000,4.070000,4.070000,107125032
2021-07-01,4.100000,4.330000,3.669000,3.919000,3.919000,89881756
2021-08-01,3.984000,4.275000,3.751000,3.945000,3.945000,79529848
2021-09-01,3.977000,4.792000,3.712000,4.233000,4.233000,125682751
2021-10-01,4.200000,4.411000,3.852000,4.070000,4.070000,95573088
2021-11-01,4.134000,4.850000,3.610000,3.675000,3.675000,128634497
2021-12-01,3.737000,4.080000,3.658000,3.871000,3.871000,83016251
2022-01-01,3.920000,4.445000,3.821000,3.975000,3.975000,100269143
2022-02-01,4.030000,4.524000,3.713000,3.951000,3.951000,115884102
2022-03-01,3.960000,4.263000,3.011000,4.094000,4.094000,110205727
2022-04-01,4.076000,4.310000,3.870000,3.954000,3.954000,47435295
2022-05-01,3.903000,4.440000,1.635000,1.798500,1.798500,241488595
2022-06-01,1.791000,1.808000,1.088000,1.117500,1.117500,443543349
2022-07-01,1.110000,1.379000,1.071500,1.343000,1.343000,272902989
2022-08-01,1.400000,1.616000,1.379000,1.463500,1.463500,252775247
2022-09-01,1.450000,1.559000,1.244500,1.300500,1.300500,214029944
2022-10-01,1.250000,1.600000,1.184000,1.331500,1.331500,282315927
2022-11-01,1.350000,1.422000,1.200500,1.282500,1.282500,370662349
2022-12-01,1.296500,1.322000,1.209000,1.231000,1.231000,272086754
2023-01-01,1.242500,1.687000,1.238000,1.548000,1.548000,366523720
2023-02-01,1.557500,1.837000,1.493500,1.770500,1.770500,329706112
