Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,9.185000,10.995000,8.821000,10.565000,9.435439,90751549
2012-02-01,10.605000,11.375000,9.976000,10.420000,9.305942,74309154
2012-03-01,10.415000,10.915000,9.683000,10.495000,9.372922,107681215
2012-04-01,10.480000,10.735000,9.232000,9.831000,8.779914,84266605
2012-05-01,9.831000,10.105000,8.326000,8.482000,7.575143,80454986
2012-06-01,8.516000,9.157000,7.895000,9.113000,8.298840,87991021
2012-07-01,9.082000,10.465000,9.001000,10.250000,9.334260,87657952
2012-08-01,10.180000,10.640000,9.601000,9.810000,8.933570,66113951
2012-09-01,9.769000,11.075000,9.579000,10.550000,9.607458,61164599
2012-10-01,10.550000,11.860000,10.540000,11.790000,10.736675,61738087
2012-11-01,11.680000,13.205000,11.615000,12.760000,11.620015,75623081
2012-12-01,12.765000,14.485000,12.720000,14.240000,12.967792,45929858
2013-01-01,14.240000,15.300000,14.050000,14.625000,13.318395,62885091
2013-02-01,14.640000,16.090000,14.160000,15.450000,14.069690,73567060
2013-03-01,15.405000,16.594999,15.040000,15.235000,13.873897,60999314
2013-04-01,15.235000,15.630000,13.765000,15.180000,13.823812,75612891
2013-05-01,15.180000,16.850000,15.100000,16.629999,15.144266,62434173
2013-06-01,16.575001,17.275000,14.980000,15.595000,14.201735,60916460
2013-07-01,15.670000,15.965000,14.955000,15.050000,13.705425,57513240
2013-08-01,15.080000,15.475000,13.155000,13.505000,12.298456,66267741
2013-09-01,13.770000,14.755000,12.540000,14.415000,13.127156,85834552
2013-10-01,14.480000,14.985000,13.905000,14.265000,12.990559,81780871
2013-11-01,14.340000,16.184999,14.050000,15.985000,14.556892,67080921
2013-12-01,16.030001,16.055000,15.025000,15.420000,14.042369,43071040
2014-01-01,15.420000,18.730000,15.050000,17.665001,16.086800,92588446
2014-02-01,17.670000,19.120001,16.805000,18.790001,17.111294,46717277
2014-03-01,18.450001,19.795000,17.770000,19.014999,17.316189,74098699
2014-04-01,19.090000,20.295000,17.940001,18.080000,16.464724,67861522
2014-05-01,18.080000,19.700001,17.420000,19.350000,17.931713,58880281
2014-06-01,19.379999,19.940001,15.520000,15.680000,14.530712,126875460
2014-07-01,15.700000,15.900000,13.065000,13.275000,12.301989,126226816
2014-08-01,13.350000,13.890000,12.045000,13.175000,12.209319,116271829
2014-09-01,13.265000,13.930000,12.380000,12.505000,11.588427,93698845
2014-10-01,12.495000,12.505000,10.690000,11.790000,10.925835,181348529
2014-11-01,11.825000,14.385000,11.650000,14.355000,13.302828,116304114
2014-12-01,14.045000,14.900000,13.465000,13.830000,12.816309,100535766
2015-01-01,13.830000,15.530000,13.805000,15.055000,13.951522,148364653
2015-02-01,14.990000,14.990000,12.975000,13.100000,12.139817,135796825
2015-03-01,13.100000,14.055000,12.775000,13.080000,12.121282,178044198
2015-04-01,13.005000,13.155000,12.090000,12.400000,11.491123,123111065
2015-05-01,12.400000,13.905000,12.270000,12.800000,11.861805,114131078
2015-06-01,12.840000,12.865000,11.350000,11.565000,10.717325,104659306
2015-07-01,11.660000,13.170000,11.335000,12.350000,11.444789,88041070
2015-08-01,12.280000,12.525000,10.245000,10.855000,10.059366,106331045
2015-09-01,10.720000,12.510000,10.530000,12.425000,11.514291,115910403
2015-10-01,12.535000,14.550000,12.105000,13.430000,12.445629,158137893
2015-11-01,13.270000,14.240000,12.760000,13.565000,12.570733,110838947
2015-12-01,13.640000,14.820000,13.080000,14.565000,13.497437,91407709
2016-01-01,14.565000,15.410000,13.205000,13.465000,12.478064,112701110
2016-02-01,13.535000,13.945000,11.850000,13.785000,12.774607,87835480
2016-03-01,13.780000,15.385000,13.715000,14.205000,13.163823,98787120
2016-04-01,14.065000,14.365000,13.480000,13.560000,12.566100,78444784
2016-05-01,13.615000,13.860000,12.205000,12.595000,11.969157,88555709
2016-06-01,12.600000,12.650000,9.897000,10.530000,10.006765,139883979
2016-07-01,10.650000,11.585000,10.115000,10.630000,10.101796,112453222
2016-08-01,10.820000,11.110000,10.175000,10.445000,9.925989,85723644
2016-09-01,10.495000,11.240000,9.484000,9.905000,9.412821,128727678
2016-10-01,9.905000,11.830000,9.103000,11.645000,11.066361,160538219
2016-11-01,11.715000,13.195000,11.025000,12.225000,11.617542,131860007
2016-12-01,12.165000,13.000000,12.055000,12.270000,11.660306,75968828
2017-01-01,12.245000,12.975000,11.210000,12.335000,11.722075,129551136
2017-02-01,12.370000,13.955000,12.045000,13.830000,13.142789,80230732
2017-03-01,13.875000,15.600000,13.645000,15.200000,14.444714,112944769
2017-04-01,15.240000,16.885000,14.570000,15.840000,15.052912,89618592
2017-05-01,15.840000,17.344999,15.825000,17.295000,16.435612,96407402
2017-06-01,17.340000,20.195000,17.320000,19.924999,19.059992,92748431
2017-07-01,20.059999,21.225000,18.174999,18.174999,17.385965,109286788
2017-08-01,18.000000,21.115000,17.805000,21.070000,20.155283,79353648
2017-09-01,21.250000,23.700001,21.150000,23.510000,22.489357,65355300
2017-10-01,23.594999,27.690001,23.549999,27.400000,26.210478,78202304
2017-11-01,27.400000,29.410000,26.209999,28.870001,27.616663,101883194
2017-12-01,29.330000,31.184999,28.275000,30.719999,29.386347,64521886
2018-01-01,30.719999,31.260000,28.290001,28.740000,27.492306,72584991
2018-02-01,28.959999,29.379999,25.750000,27.620001,26.420929,61469172
2018-03-01,27.570000,27.950001,24.879999,25.940001,24.813862,76627887
2018-04-01,25.940001,27.320000,23.690001,24.170000,23.120705,79207782
2018-05-01,24.170000,25.540001,22.969999,23.250000,22.240644,68582428
2018-06-01,23.350000,24.230000,20.320000,20.600000,20.022610,82901841
2018-07-01,20.320000,24.200001,19.805000,24.000000,23.327312,101348777
2018-08-01,24.230000,24.450001,21.920000,22.490000,21.859634,76491889
2018-09-01,22.420000,23.540001,20.750000,21.160000,20.566914,67055676
2018-10-01,20.780001,21.160000,17.045000,17.760000,17.262211,134345921
2018-11-01,17.719999,21.730000,17.629999,21.500000,20.897383,109130777
2018-12-01,21.870001,21.870001,18.705000,19.700001,19.147837,71810339
2019-01-01,19.700001,22.570000,19.195000,22.059999,21.441687,86975929
2019-02-01,22.160000,23.660000,21.600000,22.450001,21.820757,65312429
2019-03-01,22.639999,23.160000,19.174999,19.565001,19.016619,93879010
2019-04-01,19.660000,22.700001,19.180000,21.520000,20.916824,84622516
2019-05-01,21.520000,21.930000,16.825001,17.049999,16.572111,102342837
2019-06-01,17.040001,18.014999,14.335000,15.070000,15.070000,112656710
2019-07-01,15.100000,15.585000,14.005000,14.375000,14.375000,93429596
2019-08-01,14.340000,14.835000,12.580000,13.980000,13.980000,98814044
2019-09-01,14.010000,14.980000,13.685000,14.580000,14.580000,105728648
2019-10-01,14.545000,16.219999,13.815000,15.545000,15.545000,102562879
2019-11-01,15.630000,17.950001,15.535000,17.219999,17.219999,82112988
2019-12-01,17.450001,17.625000,16.180000,16.410000,16.410000,52393668
2020-01-01,16.410000,16.775000,13.450000,13.830000,13.830000,153247440
2020-02-01,13.835000,15.465000,11.520000,11.690000,11.690000,172482853
2020-03-01,11.945000,12.285000,8.020000,8.562000,8.562000,398894093
2020-04-01,8.400000,9.396000,7.020000,8.158000,8.158000,225347231
2020-05-01,8.158000,10.090000,7.120000,9.142000,9.142000,208190944
2020-06-01,9.142000,12.560000,8.594000,8.942000,8.942000,291259407
2020-07-01,8.780000,9.316000,7.472000,7.478000,7.478000,106537926
2020-08-01,7.500000,9.220000,7.216000,8.730000,8.730000,88375018
2020-09-01,8.808000,9.586000,6.848000,7.360000,7.360000,114320350
2020-10-01,7.448000,8.584000,6.878000,7.372000,7.372000,108395958
2020-11-01,7.424000,10.820000,7.106000,9.646000,9.646000,148442617
2020-12-01,9.728000,11.290000,8.802000,10.815000,10.815000,98304117
2021-01-01,10.815000,11.225000,9.458000,10.645000,10.645000,112166508
2021-02-01,10.750000,12.540000,10.440000,12.285000,12.285000,83397365
2021-03-01,12.500000,12.960000,10.365000,11.305000,11.305000,105690320
2021-04-01,11.364000,11.722000,10.008000,10.738000,10.738000,84655606
2021-05-01,10.970000,11.432000,10.138000,10.678000,10.678000,85132598
2021-06-01,10.800000,11.250000,9.208000,9.490000,9.490000,96009668
2021-07-01,9.579000,10.324000,9.205000,9.548000,9.548000,67083393
2021-08-01,9.548000,9.764000,8.420000,8.485000,8.485000,77096014
2021-09-01,8.590000,8.590000,5.567418,5.939000,5.939000,288580409
2021-10-01,5.877000,6.331000,5.371000,5.712000,5.712000,242994768
2021-11-01,5.718000,7.136000,5.239000,5.361000,5.361000,359738043
2021-12-01,5.501000,6.462000,5.425000,6.180000,6.180000,225803311
2022-01-01,6.315000,7.340000,6.285000,6.807000,6.807000,209978574
2022-02-01,6.806000,7.919000,6.616000,6.874000,6.874000,233893323
2022-03-01,6.950000,7.666000,5.250000,7.358000,7.358000,355833380
2022-04-01,7.442000,7.512000,6.751000,7.153000,7.153000,95378418
2022-05-01,7.096000,7.424000,6.485000,6.826000,6.826000,124715123
2022-06-01,6.912000,6.950000,5.313000,5.564000,5.564000,150359243
2022-07-01,5.525000,6.345000,5.450000,5.994000,5.994000,97038362
2022-08-01,6.000000,6.889000,5.739000,5.935000,5.935000,117219850
2022-09-01,5.860000,6.475000,5.479000,5.918000,5.918000,134565066
2022-10-01,5.700000,7.017000,5.521000,6.943000,6.943000,123061935
2022-11-01,7.000000,7.657000,6.811000,7.657000,7.657000,112236860
2022-12-01,7.680000,8.249000,7.556000,7.765000,7.765000,106049477
2023-01-01,7.800000,9.890000,7.771000,9.711000,9.711000,117926329
2023-02-01,9.689000,9.960000,9.084000,9.822000,9.822000,88169200
