Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,5.550000,5.820000,5.540000,5.820000,5.820000,21700
2012-02-01,6.180000,6.310000,6.080000,6.080000,6.080000,17300
2012-03-01,6.150000,6.210000,5.950000,5.950000,5.950000,17200
2012-04-01,5.950000,5.950000,5.500000,5.940000,5.940000,38600
2012-05-01,5.940000,5.940000,5.190000,5.390000,5.390000,24700
2012-06-01,5.390000,5.870000,5.390000,5.820000,5.820000,14200
2012-07-01,5.820000,5.820000,4.610000,4.700000,4.700000,53800
2012-08-01,4.700000,4.700000,4.420000,4.430000,4.430000,7100
2012-09-01,4.250000,4.760000,4.240000,4.250000,4.250000,16600
2012-10-01,4.250000,4.250000,3.990000,4.000000,4.000000,38000
2012-11-01,4.000000,4.380000,4.000000,4.380000,4.380000,67200
2012-12-01,4.380000,4.380000,4.110000,4.240000,4.240000,70300
2013-01-01,4.240000,4.250000,3.810000,3.940000,3.940000,51700
2013-02-01,3.880000,4.240000,3.840000,4.130000,4.130000,41700
2013-03-01,4.070000,4.500000,4.030000,4.200000,4.200000,34700
2013-04-01,3.990000,4.300000,3.820000,4.250000,4.250000,141200
2013-05-01,4.290000,4.700000,4.170000,4.400000,4.400000,56800
2013-06-01,4.400000,4.400000,3.970000,4.140000,4.140000,55600
2013-07-01,4.140000,4.450000,4.070000,4.170000,4.170000,60500
2013-08-01,4.170000,4.340000,4.130000,4.130000,4.130000,16100
2013-09-01,4.130000,4.470000,4.050000,4.290000,4.290000,90800
2013-10-01,4.340000,4.460000,4.150000,4.150000,4.150000,56700
2013-11-01,4.120000,4.260000,4.010000,4.040000,4.040000,55000
2013-12-01,4.030000,4.060000,3.910000,3.920000,3.920000,59200
2014-01-01,3.930000,4.400000,3.930000,4.160000,4.160000,44600
2014-02-01,4.110000,4.510000,4.030000,4.380000,4.380000,58300
2014-03-01,4.390000,4.450000,4.220000,4.270000,4.270000,52400
2014-04-01,4.270000,4.390000,4.220000,4.290000,4.290000,31800
2014-05-01,4.290000,4.470000,4.290000,4.370000,4.370000,53900
2014-06-01,4.370000,4.730000,4.370000,4.700000,4.700000,78500
2014-07-01,4.770000,5.000000,4.590000,4.880000,4.880000,47200
2014-08-01,5.020000,5.020000,4.770000,4.770000,4.770000,13500
2014-09-01,4.840000,4.890000,4.580000,4.580000,4.580000,57100
2014-10-01,4.620000,4.730000,4.230000,4.730000,4.730000,36400
2014-11-01,4.730000,4.950000,4.430000,4.950000,4.950000,19300
2014-12-01,5.040000,5.150000,4.880000,4.990000,4.990000,15500
2015-01-01,4.950000,5.620000,4.860000,5.530000,5.530000,68400
2015-02-01,5.530000,5.530000,5.210000,5.490000,5.490000,20900
2015-03-01,5.370000,5.700000,5.370000,5.470000,5.470000,95700
2015-04-01,5.470000,5.780000,5.470000,5.680000,5.680000,10000
2015-05-01,5.680000,5.680000,5.370000,5.510000,5.510000,29000
2015-06-01,5.510000,5.510000,5.110000,5.420000,5.420000,11900
2015-07-01,5.420000,6.370000,5.420000,6.370000,6.370000,43400
2015-08-01,6.370000,6.610000,5.920000,6.050000,6.050000,7400
2015-09-01,6.050000,6.050000,5.600000,5.680000,5.680000,8900
2015-10-01,5.680000,6.090000,5.590000,6.050000,6.050000,15400
2015-11-01,6.090000,6.250000,5.680000,5.720000,5.720000,56100
2015-12-01,5.600000,5.900000,5.550000,5.700000,5.700000,64300
2016-01-01,5.690000,5.900000,5.430000,5.900000,5.900000,7200
2016-02-01,5.670000,5.900000,5.350000,5.820000,5.820000,27500
2016-03-01,5.690000,5.870000,5.690000,5.710000,5.710000,14200
2016-04-01,5.550000,5.900000,5.480000,5.710000,5.710000,35700
2016-05-01,5.810000,6.180000,5.810000,5.880000,5.880000,12500
2016-06-01,5.880000,5.880000,5.500000,5.750000,5.750000,162200
2016-07-01,5.480000,5.800000,5.400000,5.660000,5.660000,17800
2016-08-01,5.510000,5.580000,5.210000,5.510000,5.510000,80200
2016-09-01,5.510000,5.650000,5.410000,5.520000,5.520000,33400
2016-10-01,5.480000,5.800000,5.170000,5.800000,5.800000,36200
2016-11-01,5.750000,5.800000,5.580000,5.700000,5.700000,9800
2016-12-01,5.700000,5.700000,5.300000,5.480000,5.480000,32100
2017-01-01,5.480000,5.950000,5.460000,5.910000,5.910000,11500
2017-02-01,5.980000,6.010000,5.750000,5.900000,5.900000,21700
2017-03-01,5.970000,6.420000,5.970000,6.300000,6.300000,10100
2017-04-01,6.250000,6.250000,5.920000,6.090000,6.090000,13500
2017-05-01,5.890000,6.460000,5.750000,6.460000,6.460000,18500
2017-06-01,6.560000,7.110000,6.560000,7.110000,7.110000,2000
2017-07-01,7.000000,7.020000,6.650000,6.910000,6.910000,40300
2017-08-01,7.180000,7.530000,7.180000,7.530000,7.530000,16800
2017-09-01,7.530000,7.960000,7.530000,7.960000,7.960000,3400
2017-10-01,7.980000,8.000000,7.260000,7.720000,7.720000,44700
2017-11-01,7.790000,7.960000,7.640000,7.960000,7.960000,10100
2017-12-01,8.100000,8.480000,7.880000,8.310000,8.310000,23800
2018-01-01,8.310000,8.650000,8.260000,8.300000,8.300000,47400
2018-02-01,8.040000,8.230000,7.520000,8.170000,8.170000,19700
2018-03-01,8.170000,8.170000,7.640000,7.660000,7.660000,12100
2018-04-01,7.640000,8.030000,7.630000,8.000000,8.000000,13200
2018-05-01,8.000000,8.040000,7.470000,8.030000,8.030000,7700
2018-06-01,7.960000,8.150000,7.160000,7.230000,7.230000,76500
2018-07-01,7.180000,7.490000,6.990000,7.360000,7.360000,10200
2018-08-01,7.360000,7.360000,6.810000,7.110000,7.110000,13500
2018-09-01,6.830000,7.210000,6.640000,7.150000,7.150000,25200
2018-10-01,6.770000,7.000000,6.220000,6.680000,6.680000,20400
2018-11-01,6.680000,7.270000,6.530000,7.250000,7.250000,16200
2018-12-01,7.250000,7.250000,6.730000,7.220000,7.220000,80400
2019-01-01,7.160000,7.490000,7.120000,7.160000,7.160000,38900
2019-02-01,7.340000,7.690000,7.100000,7.660000,7.660000,139700
2019-03-01,7.550000,7.550000,7.150000,7.420000,7.420000,67300
2019-04-01,7.420000,7.480000,6.840000,7.030000,7.030000,92700
2019-05-01,7.230000,7.230000,6.540000,6.540000,6.540000,18100
2019-06-01,6.540000,6.950000,6.490000,6.490000,6.490000,20500
2019-07-01,6.580000,6.890000,6.520000,6.750000,6.750000,71000
2019-08-01,6.690000,6.890000,6.580000,6.850000,6.850000,20200
2019-09-01,6.850000,7.220000,6.650000,6.710000,6.710000,13700
2019-10-01,6.710000,7.000000,6.680000,6.700000,6.700000,17500
2019-11-01,6.700000,7.110000,6.670000,7.010000,7.010000,12100
2019-12-01,7.000000,7.030000,6.500000,6.520000,6.520000,14800
2020-01-01,6.550000,6.720000,6.200000,6.300000,6.300000,6900
2020-02-01,6.330000,6.490000,5.090000,5.090000,5.090000,55400
2020-03-01,5.470000,5.800000,4.610000,5.060000,5.060000,79900
2020-04-01,4.730000,4.920000,3.950000,4.500000,4.500000,47800
2020-05-01,4.500000,5.200000,3.770000,4.720000,4.720000,175500
2020-06-01,4.900000,5.380000,4.500000,4.600000,4.600000,95300
2020-07-01,4.600000,4.720000,4.000000,4.000000,4.000000,24600
2020-08-01,3.900000,5.200000,3.900000,5.200000,5.200000,64100
2020-09-01,4.810000,5.420000,4.800000,4.800000,4.800000,9800
2020-10-01,4.800000,4.930000,4.350000,4.350000,4.350000,10900
2020-11-01,4.350000,5.190000,4.210000,4.850000,4.850000,70200
2020-12-01,4.750000,4.980000,4.080000,4.420000,4.420000,120700
2021-01-01,4.420000,4.610000,4.120000,4.410000,4.410000,42600
2021-02-01,4.310000,5.020000,4.200000,4.820000,4.820000,66200
2021-03-01,4.900000,5.380000,4.510000,4.830000,4.830000,120300
2021-04-01,4.730000,4.860000,4.240000,4.730000,4.730000,162100
