Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,25.572081,31.773312,24.346752,29.631649,24.634863,5451430
2012-02-01,29.711561,35.364056,29.711561,31.570866,26.247065,7134068
2012-03-01,31.538900,32.045013,28.006756,29.711561,24.701300,5216505
2012-04-01,29.807457,31.006147,25.636011,29.407892,24.448833,4697463
2012-05-01,29.407892,30.494705,23.505005,24.069721,20.010839,4761732
2012-06-01,23.979153,25.236446,21.198189,25.108587,20.874527,5427503
2012-07-01,25.103258,28.315752,23.750071,28.017410,23.292833,3329681
2012-08-01,27.969463,33.669907,25.918369,33.147812,27.558092,4603421
2012-09-01,33.089207,37.186069,32.220821,35.715672,29.692932,3722987
2012-10-01,35.795586,39.737949,35.321438,38.523273,32.027088,2909635
2012-11-01,38.411396,41.538651,35.859516,40.728867,33.860748,3265200
2012-12-01,40.862053,43.914722,40.046944,41.815681,34.764301,3698189
2013-01-01,41.815681,43.387299,38.992096,42.620136,35.433098,5463023
2013-02-01,42.460308,44.777779,39.690002,40.862053,33.971481,3494904
2013-03-01,40.616989,45.177341,40.078911,44.596645,37.076309,3799188
2013-04-01,44.596645,45.124069,40.260044,42.865200,35.636833,2764421
2013-05-01,42.865200,52.476040,42.753323,50.440929,41.935070,4389527
2013-06-01,50.078659,50.323723,45.800663,48.656212,40.451313,2798015
2013-07-01,48.927914,51.602329,47.340317,50.611408,42.076801,2612680
2013-08-01,50.595428,52.822330,45.763371,46.716995,38.839104,2853435
2013-09-01,47.308350,50.345036,45.800663,50.313068,41.828773,2316399
2013-10-01,50.392982,52.710453,48.373852,52.097790,43.312534,2941813
2013-11-01,52.161716,57.483906,50.840492,56.924519,47.325329,3171115
2013-12-01,56.738056,64.622780,56.738056,63.797016,53.038921,3426300
2014-01-01,63.797016,69.577370,62.758148,67.393089,56.028591,3617826
2014-02-01,68.138939,75.411003,66.114487,69.683922,57.933117,5282352
2014-03-01,67.766014,69.790474,62.278671,64.462952,54.017124,4403730
2014-04-01,64.596146,68.751610,58.682598,63.797016,53.459099,4504291
2014-05-01,63.797016,68.032394,60.946793,66.540688,55.758183,3429313
