Date,UK,Germany,France,Japan,Canada,USA,Year
2012-01-01,209.5,207.1,201.8,188.5,123.9,90.5,2012
2012-02-01,212.3,215.5,208.9,182.2,127.1,94.2,2012
2012-03-01,216.6,221.9,213.3,185.9,130.9,101.0,2012
2012-04-01,224.8,223.2,215.9,192.1,134.4,102.2,2012
2012-05-01,220.5,209.6,204.5,191.6,129.4,99.6,2012
2012-06-01,212.2,205.5,197.9,185.6,126.0,96.1,2012
2012-07-01,206.7,200.6,190.0,178.9,126.7,91.1,2012
2012-08-01,210.9,212.2,198.9,179.3,130.4,97.6,2012
2012-09-01,219.3,218.4,198.4,185.8,131.7,99.5,2012
2012-10-01,218.9,211.9,197.7,185.0,128.7,97.6,2012
2012-11-01,214.9,207.3,191.0,179.6,122.2,90.9,2012
2012-12-01,211.9,206.1,193.7,174.0,118.8,86.6,2012
2013-01-01,209.7,211.2,204.9,167.5,120.6,87.0,2013
2013-02-01,210.6,220.0,212.9,167.3,129.7,98.0,2013
2013-03-01,214.1,212.2,211.6,168.3,130.2,100.4,2013
2013-04-01,212.8,214.2,207.0,161.0,126.3,96.0,2013
2013-05-01,208.0,213.8,201.9,153.6,129.9,97.5,2013
2013-06-01,214.5,217.6,208.9,155.8,132.0,98.8,2013
2013-07-01,213.2,220.4,208.7,162.4,132.5,99.3,2013
2013-08-01,221.1,224.8,214.0,170.3,131.7,98.2,2013
2013-09-01,223.4,222.4,211.7,167.9,129.5,97.1,2013
2013-10-01,219.6,221.2,210.3,169.3,124.6,91.5,2013
2013-11-01,219.5,220.7,208.8,165.8,124.3,89.9,2013
2013-12-01,227.9,226.9,218.4,161.8,125.8,92.1,2013
2014-01-01,233.7,227.8,223.3,166.5,125.7,95.6,2014
2014-02-01,236.5,232.8,227.5,171.5,128.4,98.1,2014
2014-03-01,238.3,235.5,231.5,173.3,132.4,103.6,2014
2014-04-01,237.3,239.4,229.7,176.0,137.0,106.2,2014
2014-05-01,237.5,233.9,227.1,177.0,136.4,105.6,2014
2014-06-01,238.1,234.1,225.3,177.3,138.8,105.6,2014
2014-07-01,240.4,232.4,223.0,179.3,134.0,102.4,2014
2014-08-01,235.6,228.5,217.9,179.2,132.0,100.6,2014
2014-09-01,230.5,223.4,212.0,171.5,131.0,99.1,2014
2014-10-01,226.9,215.7,208.7,170.5,123.0,94.0,2014
2014-11-01,220.1,210.1,201.3,155.7,117.0,87.3,2014
2014-12-01,211.2,196.0,191.1,148.6,103.6,77.6,2014
2015-01-01,199.0,182.9,179.8,144.0,92.6,67.7,2015
2015-02-01,205.1,190.5,187.5,142.6,101.1,73.2,2015
2015-03-01,209.0,192.1,188.9,146.6,108.3,82.1,2015
2015-04-01,208.2,193.8,187.6,144.4,109.2,80.5,2015
2015-05-01,217.0,202.5,195.1,142.8,114.7,87.2,2015
2015-06-01,223.8,206.9,199.7,144.0,120.8,91.4,2015
2015-07-01,233.1,211.8,202.9,150.1,119.5,94.8,2015
2015-08-01,233.4,207.9,200.7,147.6,109.4,91.4,2015
2015-09-01,224.5,202.2,193.7,149.3,103.3,82.9,2015
2015-10-01,221.4,196.0,192.4,148.0,105.3,80.2,2015
2015-11-01,216.3,188.8,183.6,142.2,105.9,75.7,2015
2015-12-01,214.4,194.0,190.2,141.9,101.7,73.8,2015
2016-01-01,208.5,194.0,195.9,141.7,95.8,73.2,2016
