regions,day,price,Year
Canada,2012-01-01,123.9,2012
France,2012-01-01,201.8,2012
Germany,2012-01-01,207.1,2012
Japan,2012-01-01,188.5,2012
UK,2012-01-01,209.5,2012
USA,2012-01-01,90.5,2012
Canada,2012-02-01,127.1,2012
France,2012-02-01,208.9,2012
Germany,2012-02-01,215.5,2012
Japan,2012-02-01,182.2,2012
UK,2012-02-01,212.3,2012
USA,2012-02-01,94.2,2012
Canada,2012-03-01,130.9,2012
France,2012-03-01,213.3,2012
Germany,2012-03-01,221.9,2012
Japan,2012-03-01,185.9,2012
UK,2012-03-01,216.6,2012
USA,2012-03-01,101.0,2012
Canada,2012-04-01,134.4,2012
France,2012-04-01,215.9,2012
Germany,2012-04-01,223.2,2012
Japan,2012-04-01,192.1,2012
UK,2012-04-01,224.8,2012
USA,2012-04-01,102.2,2012
Canada,2012-05-01,129.4,2012
France,2012-05-01,204.5,2012
Germany,2012-05-01,209.6,2012
Japan,2012-05-01,191.6,2012
UK,2012-05-01,220.5,2012
USA,2012-05-01,99.6,2012
Canada,2012-06-01,126.0,2012
France,2012-06-01,197.9,2012
Germany,2012-06-01,205.5,2012
Japan,2012-06-01,185.6,2012
UK,2012-06-01,212.2,2012
USA,2012-06-01,96.1,2012
Canada,2012-07-01,126.7,2012
France,2012-07-01,190.0,2012
Germany,2012-07-01,200.6,2012
Japan,2012-07-01,178.9,2012
UK,2012-07-01,206.7,2012
USA,2012-07-01,91.1,2012
Canada,2012-08-01,130.4,2012
France,2012-08-01,198.9,2012
Germany,2012-08-01,212.2,2012
Japan,2012-08-01,179.3,2012
UK,2012-08-01,210.9,2012
USA,2012-08-01,97.6,2012
Canada,2012-09-01,131.7,2012
France,2012-09-01,198.4,2012
Germany,2012-09-01,218.4,2012
Japan,2012-09-01,185.8,2012
UK,2012-09-01,219.3,2012
USA,2012-09-01,99.5,2012
Canada,2012-10-01,128.7,2012
France,2012-10-01,197.7,2012
Germany,2012-10-01,211.9,2012
Japan,2012-10-01,185.0,2012
UK,2012-10-01,218.9,2012
USA,2012-10-01,97.6,2012
Canada,2012-11-01,122.2,2012
France,2012-11-01,191.0,2012
Germany,2012-11-01,207.3,2012
Japan,2012-11-01,179.6,2012
UK,2012-11-01,214.9,2012
USA,2012-11-01,90.9,2012
Canada,2012-12-01,118.8,2012
France,2012-12-01,193.7,2012
Germany,2012-12-01,206.1,2012
Japan,2012-12-01,174.0,2012
UK,2012-12-01,211.9,2012
USA,2012-12-01,86.6,2012
Canada,2013-01-01,120.6,2013
France,2013-01-01,204.9,2013
Germany,2013-01-01,211.2,2013
Japan,2013-01-01,167.5,2013
UK,2013-01-01,209.7,2013
USA,2013-01-01,87.0,2013
Canada,2013-02-01,129.7,2013
France,2013-02-01,212.9,2013
Germany,2013-02-01,220.0,2013
Japan,2013-02-01,167.3,2013
UK,2013-02-01,210.6,2013
USA,2013-02-01,98.0,2013
Canada,2013-03-01,130.2,2013
France,2013-03-01,211.6,2013
Germany,2013-03-01,212.2,2013
Japan,2013-03-01,168.3,2013
UK,2013-03-01,214.1,2013
USA,2013-03-01,100.4,2013
Canada,2013-04-01,126.3,2013
France,2013-04-01,207.0,2013
Germany,2013-04-01,214.2,2013
Japan,2013-04-01,161.0,2013
UK,2013-04-01,212.8,2013
USA,2013-04-01,96.0,2013
Canada,2013-05-01,129.9,2013
France,2013-05-01,201.9,2013
Germany,2013-05-01,213.8,2013
Japan,2013-05-01,153.6,2013
UK,2013-05-01,208.0,2013
USA,2013-05-01,97.5,2013
Canada,2013-06-01,132.0,2013
France,2013-06-01,208.9,2013
Germany,2013-06-01,217.6,2013
Japan,2013-06-01,155.8,2013
UK,2013-06-01,214.5,2013
USA,2013-06-01,98.8,2013
Canada,2013-07-01,132.5,2013
France,2013-07-01,208.7,2013
Germany,2013-07-01,220.4,2013
Japan,2013-07-01,162.4,2013
UK,2013-07-01,213.2,2013
USA,2013-07-01,99.3,2013
Canada,2013-08-01,131.7,2013
France,2013-08-01,214.0,2013
Germany,2013-08-01,224.8,2013
Japan,2013-08-01,170.3,2013
UK,2013-08-01,221.1,2013
USA,2013-08-01,98.2,2013
Canada,2013-09-01,129.5,2013
France,2013-09-01,211.7,2013
Germany,2013-09-01,222.4,2013
Japan,2013-09-01,167.9,2013
UK,2013-09-01,223.4,2013
USA,2013-09-01,97.1,2013
Canada,2013-10-01,124.6,2013
France,2013-10-01,210.3,2013
Germany,2013-10-01,221.2,2013
Japan,2013-10-01,169.3,2013
UK,2013-10-01,219.6,2013
USA,2013-10-01,91.5,2013
Canada,2013-11-01,124.3,2013
France,2013-11-01,208.8,2013
Germany,2013-11-01,220.7,2013
Japan,2013-11-01,165.8,2013
UK,2013-11-01,219.5,2013
USA,2013-11-01,89.9,2013
Canada,2013-12-01,125.8,2013
France,2013-12-01,218.4,2013
Germany,2013-12-01,226.9,2013
Japan,2013-12-01,161.8,2013
UK,2013-12-01,227.9,2013
USA,2013-12-01,92.1,2013
Canada,2014-01-01,125.7,2014
France,2014-01-01,223.3,2014
Germany,2014-01-01,227.8,2014
Japan,2014-01-01,166.5,2014
UK,2014-01-01,233.7,2014
USA,2014-01-01,95.6,2014
Canada,2014-02-01,128.4,2014
France,2014-02-01,227.5,2014
Germany,2014-02-01,232.8,2014
Japan,2014-02-01,171.5,2014
UK,2014-02-01,236.5,2014
USA,2014-02-01,98.1,2014
Canada,2014-03-01,132.4,2014
France,2014-03-01,231.5,2014
Germany,2014-03-01,235.5,2014
Japan,2014-03-01,173.3,2014
UK,2014-03-01,238.3,2014
USA,2014-03-01,103.6,2014
Canada,2014-04-01,137.0,2014
France,2014-04-01,229.7,2014
Germany,2014-04-01,239.4,2014
Japan,2014-04-01,176.0,2014
UK,2014-04-01,237.3,2014
USA,2014-04-01,106.2,2014
Canada,2014-05-01,136.4,2014
France,2014-05-01,227.1,2014
Germany,2014-05-01,233.9,2014
Japan,2014-05-01,177.0,2014
UK,2014-05-01,237.5,2014
USA,2014-05-01,105.6,2014
Canada,2014-06-01,138.8,2014
France,2014-06-01,225.3,2014
Germany,2014-06-01,234.1,2014
Japan,2014-06-01,177.3,2014
UK,2014-06-01,238.1,2014
USA,2014-06-01,105.6,2014
Canada,2014-07-01,134.0,2014
France,2014-07-01,223.0,2014
Germany,2014-07-01,232.4,2014
Japan,2014-07-01,179.3,2014
UK,2014-07-01,240.4,2014
USA,2014-07-01,102.4,2014
Canada,2014-08-01,132.0,2014
France,2014-08-01,217.9,2014
Germany,2014-08-01,228.5,2014
Japan,2014-08-01,179.2,2014
UK,2014-08-01,235.6,2014
USA,2014-08-01,100.6,2014
Canada,2014-09-01,131.0,2014
France,2014-09-01,212.0,2014
Germany,2014-09-01,223.4,2014
Japan,2014-09-01,171.5,2014
UK,2014-09-01,230.5,2014
USA,2014-09-01,99.1,2014
Canada,2014-10-01,123.0,2014
France,2014-10-01,208.7,2014
Germany,2014-10-01,215.7,2014
Japan,2014-10-01,170.5,2014
UK,2014-10-01,226.9,2014
USA,2014-10-01,94.0,2014
Canada,2014-11-01,117.0,2014
France,2014-11-01,201.3,2014
Germany,2014-11-01,210.1,2014
Japan,2014-11-01,155.7,2014
UK,2014-11-01,220.1,2014
USA,2014-11-01,87.3,2014
Canada,2014-12-01,103.6,2014
France,2014-12-01,191.1,2014
Germany,2014-12-01,196.0,2014
Japan,2014-12-01,148.6,2014
UK,2014-12-01,211.2,2014
USA,2014-12-01,77.6,2014
Canada,2015-01-01,92.6,2015
France,2015-01-01,179.8,2015
Germany,2015-01-01,182.9,2015
Japan,2015-01-01,144.0,2015
UK,2015-01-01,199.0,2015
USA,2015-01-01,67.7,2015
Canada,2015-02-01,101.1,2015
France,2015-02-01,187.5,2015
Germany,2015-02-01,190.5,2015
Japan,2015-02-01,142.6,2015
UK,2015-02-01,205.1,2015
USA,2015-02-01,73.2,2015
Canada,2015-03-01,108.3,2015
France,2015-03-01,188.9,2015
Germany,2015-03-01,192.1,2015
Japan,2015-03-01,146.6,2015
UK,2015-03-01,209.0,2015
USA,2015-03-01,82.1,2015
Canada,2015-04-01,109.2,2015
France,2015-04-01,187.6,2015
Germany,2015-04-01,193.8,2015
Japan,2015-04-01,144.4,2015
UK,2015-04-01,208.2,2015
USA,2015-04-01,80.5,2015
Canada,2015-05-01,114.7,2015
France,2015-05-01,195.1,2015
Germany,2015-05-01,202.5,2015
Japan,2015-05-01,142.8,2015
UK,2015-05-01,217.0,2015
USA,2015-05-01,87.2,2015
