regions,price,Year,iso_alpha
Canada,123.9,2012,CAN
France,201.8,2012,FRA
Germany,207.1,2012,DEU
Japan,188.5,2012,JPN
UK,209.5,2012,GBR
USA,90.5,2012,USA
Canada,127.1,2012,CAN
France,208.9,2012,FRA
Germany,215.5,2012,DEU
Japan,182.2,2012,JPN
UK,212.3,2012,GBR
USA,94.2,2012,USA
Canada,130.9,2012,CAN
France,213.3,2012,FRA
Germany,221.9,2012,DEU
Japan,185.9,2012,JPN
UK,216.6,2012,GBR
USA,101.0,2012,USA
Canada,134.4,2012,CAN
France,215.9,2012,FRA
Germany,223.2,2012,DEU
Japan,192.1,2012,JPN
UK,224.8,2012,GBR
USA,102.2,2012,USA
Canada,129.4,2012,CAN
France,204.5,2012,FRA
Germany,209.6,2012,DEU
Japan,191.6,2012,JPN
UK,220.5,2012,GBR
USA,99.6,2012,USA
Canada,126.0,2012,CAN
France,197.9,2012,FRA
Germany,205.5,2012,DEU
Japan,185.6,2012,JPN
UK,212.2,2012,GBR
USA,96.1,2012,USA
Canada,126.7,2012,CAN
France,190.0,2012,FRA
Germany,200.6,2012,DEU
Japan,178.9,2012,JPN
UK,206.7,2012,GBR
USA,91.1,2012,USA
Canada,130.4,2012,CAN
France,198.9,2012,FRA
Germany,212.2,2012,DEU
Japan,179.3,2012,JPN
UK,210.9,2012,GBR
USA,97.6,2012,USA
Canada,131.7,2012,CAN
France,198.4,2012,FRA
Germany,218.4,2012,DEU
Japan,185.8,2012,JPN
UK,219.3,2012,GBR
USA,99.5,2012,USA
Canada,128.7,2012,CAN
France,197.7,2012,FRA
Germany,211.9,2012,DEU
Japan,185.0,2012,JPN
UK,218.9,2012,GBR
USA,97.6,2012,USA
Canada,122.2,2012,CAN
France,191.0,2012,FRA
Germany,207.3,2012,DEU
Japan,179.6,2012,JPN
UK,214.9,2012,GBR
USA,90.9,2012,USA
Canada,118.8,2012,CAN
France,193.7,2012,FRA
Germany,206.1,2012,DEU
Japan,174.0,2012,JPN
UK,211.9,2012,GBR
USA,86.6,2012,USA
Canada,120.6,2013,CAN
France,204.9,2013,FRA
Germany,211.2,2013,DEU
Japan,167.5,2013,JPN
UK,209.7,2013,GBR
USA,87.0,2013,USA
Canada,129.7,2013,CAN
France,212.9,2013,FRA
Germany,220.0,2013,DEU
Japan,167.3,2013,JPN
UK,210.6,2013,GBR
USA,98.0,2013,USA
Canada,130.2,2013,CAN
France,211.6,2013,FRA
Germany,212.2,2013,DEU
Japan,168.3,2013,JPN
UK,214.1,2013,GBR
USA,100.4,2013,USA
Canada,126.3,2013,CAN
France,207.0,2013,FRA
Germany,214.2,2013,DEU
Japan,161.0,2013,JPN
UK,212.8,2013,GBR
USA,96.0,2013,USA
Canada,129.9,2013,CAN
France,201.9,2013,FRA
Germany,213.8,2013,DEU
Japan,153.6,2013,JPN
UK,208.0,2013,GBR
