regions,day,price,Year
Canada,2012-02-01,-0.0841121495327104,2012
France,2012-02-01,-0.08889294030916106,2012
Germany,2012-02-01,-0.017754745634424363,2012
Japan,2012-02-01,0.02176825421194017,2012
UK,2012-02-01,0.06632438969346444,2012
USA,2012-02-01,-0.1412879208344705,2012
Canada,2012-03-01,-0.04081632653061229,2012
France,2012-03-01,-0.04288281001518668,2012
Germany,2012-03-01,0.0040600092082681005,2012
Japan,2012-03-01,-0.034470277874998456,2012
UK,2012-03-01,-0.06598254148161431,2012
USA,2012-03-01,0.010591936693472805,2012
Canada,2012-04-01,0.06382978723404252,2012
France,2012-04-01,-0.1366731256441086,2012
Germany,2012-04-01,-0.04963135029456545,2012
Japan,2012-04-01,0.00951604571879372,2012
UK,2012-04-01,0.005392776980886138,2012
USA,2012-04-01,0.3669396211343829,2012
Canada,2012-05-01,-0.08999999999999997,2012
France,2012-05-01,-0.08638538517534111,2012
Germany,2012-05-01,-0.15834938994283232,2012
Japan,2012-05-01,-0.10530358192563748,2012
UK,2012-05-01,-0.18099119564595026,2012
USA,2012-05-01,0.2704496935492027,2012
Canada,2012-06-01,0.07692307692307687,2012
France,2012-06-01,0.09093013747027713,2012
Germany,2012-06-01,0.05858928695136156,2012
Japan,2012-06-01,0.1409108490189157,2012
UK,2012-06-01,0.03796704344378599,2012
USA,2012-06-01,0.06540856712345344,2012
Canada,2012-07-01,0.16326530612244894,2012
France,2012-07-01,0.15883476238757988,2012
Germany,2012-07-01,0.13153616514901456,2012
Japan,2012-07-01,-0.20487338340486894,2012
UK,2012-07-01,0.12006092646166565,2012
USA,2012-07-01,-0.15352158828480356,2012
Canada,2012-08-01,-0.05263157894736825,2012
France,2012-08-01,-0.1139907947813289,2012
Germany,2012-08-01,-0.08389857327211292,2012
Japan,2012-08-01,-0.07637532402840498,2012
UK,2012-08-01,0.1602207440332235,2012
USA,2012-08-01,-0.08848830330388813,2012
Canada,2012-09-01,0.17592592592592582,2012
France,2012-09-01,0.2752891335834824,2012
Germany,2012-09-01,0.09001093834809447,2012
Japan,2012-09-01,-0.05176152981773385,2012
UK,2012-09-01,0.0814295872373465,2012
USA,2012-09-01,-0.03014491593396273,2012
Canada,2012-10-01,0.3937007874015748,2012
France,2012-10-01,0.2964316122953874,2012
Germany,2012-10-01,0.1336448105081416,2012
Japan,2012-10-01,-0.06497860141283784,2012
UK,2012-10-01,0.08997756717950177,2012
USA,2012-10-01,0.1568208101784041,2012
Canada,2012-11-01,0.02259887005649719,2012
France,2012-11-01,0.11963300790193965,2012
