regions,day,price,Year
Canada,2012-01-01,1.07,2012
France,2012-01-01,6.409274999999999,2012
Germany,2012-01-01,13.961647499999998,2012
Japan,2012-01-01,5.944145606306515,2012
UK,2012-01-01,46.87923399197892,2012
USA,2012-01-01,8.620032460004635,2012
Canada,2012-02-01,0.98,2012
France,2012-02-01,5.839535700000001,2012
Germany,2012-02-01,13.713762,2012
Japan,2012-02-01,6.073539278937383,2012
UK,2012-02-01,49.98847057579403,2012
USA,2012-02-01,7.402125996204934,2012
Canada,2012-03-01,0.94,2012
France,2012-03-01,5.589119999999999,2012
Germany,2012-03-01,13.76944,2012
Japan,2012-03-01,5.8641826923076925,2012
UK,2012-03-01,46.69010424242425,2012
USA,2012-03-01,7.480528846153847,2012
Canada,2012-04-01,1.0,2012
France,2012-04-01,4.8252375,2012
Germany,2012-04-01,13.0860441,2012
Japan,2012-04-01,5.919986522911053,2012
UK,2012-04-01,46.94189356181796,2012
USA,2012-04-01,10.22543126684636,2012
Canada,2012-05-01,0.91,2012
France,2012-05-01,4.4084075,2012
Germany,2012-05-01,11.013877,2012
Japan,2012-05-01,5.296590737097018,2012
UK,2012-05-01,38.4458241201796,2012
USA,2012-05-01,12.990896019373393,2012
Canada,2012-06-01,0.98,2012
France,2012-06-01,4.8092646000000006,2012
Germany,2012-06-01,11.659172199999999,2012
Japan,2012-06-01,6.042937834767084,2012
UK,2012-06-01,39.90549839478261,2012
USA,2012-06-01,13.840611913650385,2012
Canada,2012-07-01,1.14,2012
France,2012-07-01,5.573143,2012
Germany,2012-07-01,13.192775,2012
Japan,2012-07-01,4.8049007148530585,2012
UK,2012-07-01,44.69658950297472,2012
USA,2012-07-01,11.7157791898332,2012
Canada,2012-08-01,1.08,2012
France,2012-08-01,4.937856,2012
Germany,2012-08-01,12.08592,2012
Japan,2012-08-01,4.4379248658318415,2012
UK,2012-08-01,51.85791032888889,2012
USA,2012-08-01,10.67906976744186,2012
Canada,2012-09-01,1.27,2012
France,2012-09-01,6.2971941,2012
Germany,2012-09-01,13.173785,2012
Japan,2012-09-01,4.208211085560223,2012
UK,2012-09-01,56.08067856196164,2012
USA,2012-09-01,10.357150107049401,2012
Canada,2012-10-01,1.77,2012
France,2012-10-01,8.1638815,2012
Germany,2012-10-01,14.934392999999998,2012
Japan,2012-10-01,3.934767414770521,2012
UK,2012-10-01,61.12668158474258,2012
USA,2012-10-01,11.981366777976234,2012
Canada,2012-11-01,1.81,2012
France,2012-11-01,9.1405512,2012
Germany,2012-11-01,16.548444,2012
Japan,2012-11-01,4.377974566473989,2012
UK,2012-11-01,65.76762449393014,2012
USA,2012-11-01,12.88403930635838,2012
Canada,2012-12-01,1.75,2012
France,2012-12-01,9.0328,2012
Germany,2012-12-01,18.375296,2012
Japan,2012-12-01,4.21322655167103,2012
UK,2012-12-01,66.55026487715837,2012
USA,2012-12-01,13.414754350839365,2012
Canada,2013-01-01,2.44,2013
France,2013-01-01,10.5345603,2013
Germany,2013-01-01,19.2128625,2013
Japan,2013-01-01,3.922978626648477,2013
UK,2013-01-01,68.60687742090431,2013
USA,2013-01-01,14.218308321964534,2013
Canada,2013-02-01,2.41,2013
France,2013-02-01,11.1059728,2013
Germany,2013-02-01,21.069165,2013
Japan,2013-02-01,4.127881119906186,2013
UK,2013-02-01,64.66703223407218,2013
USA,2013-02-01,13.423109791849894,2013
Canada,2013-03-01,3.03,2013
France,2013-03-01,9.889632,2013
Germany,2013-03-01,20.471269500000002,2013
Japan,2013-03-01,4.341184615384615,2013
UK,2013-03-01,69.30092735804324,2013
USA,2013-03-01,17.540452043307692,2013
Canada,2013-04-01,3.0,2013
France,2013-04-01,10.0209616,2013
Germany,2013-04-01,19.765878,2013
Japan,2013-04-01,4.321690745802422,2013
UK,2013-04-01,66.00612218543047,2013
USA,2013-04-01,17.18507614213198,2013
Canada,2013-05-01,2.05,2013
France,2013-05-01,9.9242843,2013
Germany,2013-05-01,21.9732176787,2013
Japan,2013-05-01,4.447460220318238,2013
UK,2013-05-01,78.93829146950134,2013
USA,2013-05-01,17.75951728886169,2013
Canada,2013-06-01,2.41,2013
France,2013-06-01,9.258712800000001,2013
Germany,2013-06-01,20.950323,2013
Japan,2013-06-01,4.276238659080423,2013
UK,2013-06-01,76.57090751572656,2013
USA,2013-06-01,16.96034753190835,2013
Canada,2013-07-01,2.18,2013
France,2013-07-01,8.3463404,2013
Germany,2013-07-01,20.639570000000003,2013
Japan,2013-07-01,4.38654445041037,2013
UK,2013-07-01,81.06100429921167,2013
USA,2013-07-01,20.35482856485388,2013
Canada,2013-08-01,2.81,2013
France,2013-08-01,7.762285,2013
Germany,2013-08-01,18.407315,2013
Japan,2013-08-01,4.252938954366877,2013
UK,2013-08-01,73.25732188794294,2013
USA,2013-08-01,16.641039588999696,2013
Canada,2013-09-01,3.53,2013
France,2013-09-01,10.255502400000001,2013
Germany,2013-09-01,20.088744000000002,2013
Japan,2013-09-01,4.517222516055912,2013
UK,2013-09-01,82.10819317852334,2013
USA,2013-09-01,19.964227129882886,2013
Canada,2013-10-01,5.73,2013
France,2013-10-01,10.764702000000002,2013
Germany,2013-10-01,19.916793,2013
Japan,2013-10-01,4.274922532093846,2013
UK,2013-10-01,87.16469071060516,2013
USA,2013-10-01,22.63133584462152,2013
Canada,2013-11-01,7.56,2013
France,2013-11-01,10.740341399999998,2013
Germany,2013-11-01,22.510077,2013
